timestamp,cpu,before,rtg,hs,nl,pl,after
209.19259,0,322,322,322,0,322,322
209.192594,1,188,322,0,0,322,322
209.192598,2,195,322,0,0,322,322
209.192601,3,307,322,322,0,322,322
209.192609,4,676,676,676,0,676,772
209.192613,5,691,691,691,0,772,772
209.192617,6,374,772,0,0,772,772
209.192623,7,0,0,0,0,0,0
209.224118,0,263,263,0,0,347,347
209.224121,1,257,347,0,0,347,347
209.224124,2,319,347,347,0,347,347
209.224128,3,324,347,347,0,347,347
209.224136,4,618,618,618,0,991,991
209.224139,5,558,991,0,0,991,991
209.224143,6,711,991,991,0,991,991
209.224149,7,44,44,0,0,0,44
209.237785,0,307,307,307,0,308,321
209.237788,1,242,308,0,0,308,321
209.237792,2,321,321,321,0,321,321
209.237796,3,299,321,321,0,321,321
209.237804,4,669,669,669,0,669,678
209.237808,5,624,669,669,0,678,678
209.237812,6,326,678,0,0,678,678
209.237818,7,291,291,0,0,0,291
209.238281,0,307,307,307,0,308,321
209.238285,1,242,308,0,0,308,321
209.238288,2,321,321,321,0,321,321
209.238292,3,299,321,321,0,321,321
209.2383,4,669,669,669,0,669,786
209.238304,5,624,669,669,0,786,786
209.238308,6,546,786,0,0,786,786
209.238314,7,113,113,0,0,0,113
209.242386,0,322,322,0,0,322,322
209.242389,1,237,322,0,0,322,322
209.242392,2,296,322,322,0,322,322
209.242396,3,246,322,0,0,322,322
209.242402,4,661,661,661,0,661,828
209.242406,5,661,661,661,0,661,828
209.24241,6,828,828,828,0,828,828
209.242417,7,60,60,0,0,0,60
209.263167,0,175,175,0,0,175,325
209.26317,1,156,175,0,0,175,325
209.263173,2,325,325,325,0,325,325
209.263178,3,202,325,0,0,325,325
209.263184,4,828,828,828,0,828,828
209.263188,5,311,828,0,0,828,828
209.263191,6,310,828,0,0,828,828
209.263197,7,0,0,0,0,0,0
209.275633,0,142,144,0,0,144,325
209.275636,1,325,325,325,0,325,325
209.27564,2,325,325,325,0,325,325
209.275645,3,104,325,0,0,325,325
209.275652,4,284,284,0,0,347,828
209.275655,5,828,828,828,0,828,828
209.275659,6,685,828,828,0,828,828
209.275667,7,145,145,0,0,0,145
209.320155,0,299,299,299,0,299,1264
209.320158,1,325,325,0,0,1264,1264
209.320162,2,78,1264,0,0,1264,1264
209.320165,3,284,1264,0,0,1264,1264
209.320172,4,309,309,0,0,436,648
209.320176,5,28,436,0,0,436,648
209.320179,6,648,648,648,0,648,648
209.320185,7,0,0,0,0,0,0
209.324729,0,192,192,0,0,198,302
209.324732,1,299,299,299,0,302,302
209.324737,2,70,302,0,0,302,302
209.32474,3,284,302,0,0,302,302
